                    CPU0       CPU1       CPU2       CPU3       CPU4       CPU5       CPU6       CPU7       CPU8       CPU9       CPU10      CPU11      CPU12      CPU13      CPU14      CPU15      CPU16      CPU17      CPU18      CPU19      
          HI:     141999       9802    2649221       9956      50333    2713708      44276       9886     198655      91539     182331      77016     105071      16438      85296      11008          0          0          0          0
       TIMER:    8939591    1462859    1062317     183394     771598     515063     446792     249591    1555589     886958    1501238     921352     955173     251306     668877     227588       5016       4847       4302       4368
      NET_TX:         53         12         24          5       1739         10         58          9         50         28         49         15         52         16         34         21          0          0          0          0
      NET_RX:    1167301     110796     891357     111483   13466974     124248    1669538     184642   20279204    8812045   14127622    3454195     716241      28087     546106      42807         13         13          2          2
       BLOCK:       1620        222        829        526       1431        120       1286        917        559       1147       2034        287       1146        143       1160       2788          0          0          0          0
    IRQ_POLL:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
     TASKLET:        261         60        113         12      10644     184887        119         41        557        117        547        163        267         27        174         36          0          0          0          0
       SCHED:   86909106   15649125    3426374     910401    2029336    1154717    1777408     864880    7187072    2681535    7119377    2772297    3364826     977200    2653879     923547          0          0          0          0
     HRTIMER:          0          0          0          0       6081          0          0          0          2          0          0          0          0          0          0          0          0          0          0          0
         RCU:    8146950    3241421    3436021    1130688    2825423    1434921    2464414    1195058    6324549    3122781    6500570    3138986    3798989    1285107    3300132    1217809      12987      12886       3943      12874
