                    CPU0       CPU1       CPU2       CPU3       CPU4       CPU5       CPU6       CPU7       CPU8       CPU9       CPU10      CPU11      CPU12      CPU13      CPU14      CPU15      CPU16      CPU17      CPU18      CPU19      
          HI:     141997       9802    2649215       9956      50333    2713200      44276       9886     198655      91539     182331      77016     105071      16438      85296      11008          0          0          0          0
       TIMER:    8925909    1460930    1061597     183159     770264     514928     446174     249465    1555141     884893    1500761     917061     954273     251188     668139     227535       4244       4193       4221       4277
      NET_TX:         53         12         24          5       1739         10         58          9         50         28         49         15         52         16         34         21          0          0          0          0
      NET_RX:     195020      11689     142259      24534   12666339      55217     221389       6758    2009268     417404    2961605       4185      94000       7508      50118       4931          0          0          0          0
       BLOCK:       1620        222        829        526       1431        120       1286        917        559       1147       2034        287       1146        143       1160       2788          0          0          0          0
    IRQ_POLL:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
     TASKLET:        261         60        113         12      10644     184827        119         41        557        117        547        163        267         27        174         36          0          0          0          0
       SCHED:   86891985   15592279    3418261     907900    2026322    1154082    1773162     863768    7182309    2675345    7113253    2760375    3360356     975383    2649242     921847          0          0          0          0
     HRTIMER:          0          0          0          0       6081          0          0          0          2          0          0          0          0          0          0          0          0          0          0          0
         RCU:    8129864    3231063    3427227    1128042    2819874    1433816    2457439    1193409    6313089    3113065    6489358    3125093    3791547    1281835    3292600    1214163       4006       3990       3943       3988
